АВС/ DEF;От;До;Емкость;Оператор;Регион;ИНН
901;1560000;1569999;10000;ООО "Т2 Мобайл";Тюменская обл.;7743895280
901;1570000;1579999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;1580000;1589999;10000;ООО "Т2 Мобайл";Челябинская обл.;7743895280
901;1590000;1594999;5000;ОАО "МТТ";Нижегородская обл.;7705017253
901;1595000;1599999;5000;ОАО "МТТ";Краснодарский край;7705017253
901;1600000;1603999;4000;ООО "Т2 Мобайл";Республика Мордовия;7743895280
901;1604000;1609999;6000;ООО "Т2 Мобайл";Калининградская обл.;7743895280
901;1610000;1619999;10000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
901;1620000;1629999;10000;ООО "Т2 Мобайл";Республика Татарстан;7743895280
901;1630000;1639999;10000;ООО "Т2 Мобайл";Удмуртская Республика;7743895280
901;1640000;1641999;2000;ООО "Т2 Мобайл";Республика Хакасия;7743895280
901;1642000;1643999;2000;ООО "Т2 Мобайл";Республика Тыва;7743895280
901;1644000;1651999;8000;ООО "Т2 Мобайл";Чувашская Республика;7743895280
901;1652000;1659999;8000;ООО "Т2 Мобайл";Алтайский край;7743895280
901;1660000;1669999;10000;ООО "Т2 Мобайл";Краснодарский край;7743895280
901;1670000;1673999;4000;ООО "Т2 Мобайл";Республика Алтай;7743895280
901;1674000;1687999;14000;ООО "Т2 Мобайл";Красноярский край;7743895280
901;1688000;1693999;6000;ООО "Т2 Мобайл";Хабаровский край;7743895280
901;1694000;1699999;6000;ООО "Т2 Мобайл";Новгородская обл.;7743895280
901;1700000;1799999;100000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;1800000;1899999;100000;ООО "Т2 Мобайл";г. Москва и Московская область;7743895280
901;1900000;1909999;10000;ООО "Т2 Мобайл";Тверская обл.;7743895280
901;1910000;1919999;10000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;1920000;1929999;10000;ООО "Т2 Мобайл";Владимирская обл.;7743895280
901;1930000;1939999;10000;ООО "Т2 Мобайл";Воронежская обл.;7743895280
901;1940000;1949999;10000;ООО "Т2 Мобайл";Ивановская обл.;7743895280
901;1950000;1959999;10000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;1960000;1979999;20000;ООО "Т2 Мобайл";Костромская обл.;7743895280
901;1980000;1989999;10000;ООО "Т2 Мобайл";Тульская обл.;7743895280
901;1990000;1999999;10000;ООО "Т2 Мобайл";Ярославская обл.;7743895280
901;2000000;2009999;10000;ООО "Т2 Мобайл";Республика Тыва;7743895280
901;2010000;2019999;10000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;2020000;2029999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2030000;2049999;20000;ПАО "Ростелеком";Тамбовская обл.;7707049388
901;2050000;2099999;50000;ООО "Т2 Мобайл";Алтайский край;7743895280
901;2100000;2109999;10000;ООО "Т2 Мобайл";Свердловская обл.;7743895280
901;2110000;2119999;10000;ОАО "МТТ";г. Москва * Московская область;7705017253
901;2120000;2127999;8000;ООО "Т2 Мобайл";Республика Бурятия;7743895280
